T   	w_agg
0   	  0.0074213488715377
1   	  0.0063161013267850
2   	  0.0056762129343292
3   	  0.0051840411577487
4   	  0.0046819265746152
5   	  0.0041931943473620
6   	  0.0036945888640528
7   	  0.0033523604495480
8   	  0.0030032182749623
9   	  0.0027144375240081
10  	  0.0024198226403678
11  	  0.0021221013627632
12  	  0.0018183653603445
13  	  0.0015084931032985
14  	  0.0012087931858639
15  	  0.0009178185643288
16  	  0.0006209658655258
17  	  0.0003504935328732
18  	  0.0000745566823230
19  	  0.0000001129904403
20  	  0.0000001136743901
21  	  0.0000001143775579
22  	  0.0000001150333384
23  	  0.0000001156693731
24  	  0.0000001162970828
25  	  0.0000001169200520
26  	  0.0000001175388230
27  	  0.0000001181531276
28  	  0.0000001187625642
29  	  0.0000001193665530
30  	  0.0000001199636296
31  	  0.0000001205486499
32  	  0.0000001211316520
33  	  0.0000001217109971
34  	  0.0000001222904188
35  	  0.0000001228755093
36  	  0.0000001234676200
37  	  0.0000001240653944
38  	  0.0000001246664101
39  	  0.0000001252878205
40  	  0.0000001259129281
41  	  0.0000001265621407
42  	  0.0000001272369524
43  	  0.0000001279351484
44  	  0.0000001286559012
45  	  0.0000001294183862
46  	  0.0000001302210945
47  	  0.0000001310527090
48  	  0.0000001319580628
49  	  0.0000001329107167
50  	  0.0000001339182606
51  	  0.0000001349862548
52  	  0.0000001361197421
53  	  0.0000001373361591
54  	  0.0000001386160950
55  	  0.0000001399634957
56  	  0.0000001413754837
57  	  0.0000001429067944
58  	  0.0000001444971138
59  	  0.0000001461610438
60  	  0.0000001479005482
61  	  0.0000001497079225
62  	  0.0000001516391429
63  	  0.0000001536525018
64  	  0.0000001557634582
65  	  0.0000001579496495
66  	  0.0000001602007654
67  	  0.0000001625339172
68  	  0.0000001649751551
69  	  0.0000001674731550
70  	  0.0000001700453273
71  	  0.0000001727930391
72  	  0.0000001756008613
73  	  0.0000001785478004
74  	  0.0000001815313194
75  	  0.0000001845525976
76  	  0.0000001876102563
77  	  0.0000001907025615
78  	  0.0000001938278060
79  	  0.0000001969837981
80  	  0.0000002002770205
81  	  0.0000002036392411
82  	  0.0000002071153163
83  	  0.0000002106768572
84  	  0.0000002142406628
85  	  0.0000002178059900
86  	  0.0000002214597188
87  	  0.0000002252331193
88  	  0.0000002289912668
89  	  0.0000002329697233
90  	  0.0000002369174620
91  	  0.0000002408355282
92  	  0.0000002447244574
93  	  0.0000002487115108
94  	  0.0000002528106024
95  	  0.0000002568670576
96  	  0.0000002608829508
97  	  0.0000002651512291
98  	  0.0000002693782109
99  	  0.0000002735568962
100 	  0.0000002776915427
101 	  0.0000002817862780
102 	  0.0000002858450831
103 	  0.0000002898718135
104 	  0.0000002938702058
105 	  0.0000002978438814
106 	  0.0000003017963499
107 	  0.0000003057310130
108 	  0.0000003096511685
109 	  0.0000003135600147
110 	  0.0000003174606537
111 	  0.0000003213560961
112 	  0.0000003252492647
113 	  0.0000003291429981
114 	  0.0000003330400549
115 	  0.0000003369431169
116 	  0.0000003408547935
117 	  0.0000003447776244
118 	  0.0000003487140837
119 	  0.0000003526665831
120 	  0.0000003566374752
121 	  0.0000003606290567
122 	  0.0000003646435717
123 	  0.0000003686832146
124 	  0.0000003727501333
125 	  0.0000003768464322
126 	  0.0000003809741751
127 	  0.0000003851353879
128 	  0.0000003893320615
129 	  0.0000003935661547
130 	  0.0000003978395967
131 	  0.0000004021542904
132 	  0.0000004065121142
133 	  0.0000004109149255
134 	  0.0000004153645631
135 	  0.0000004198628499
136 	  0.0000004244115957
137 	  0.0000004290126001
138 	  0.0000004336676551
139 	  0.0000004383785483
140 	  0.0000004431470654
141 	  0.0000004479749940
142 	  0.0000004528641258
143 	  0.0000004578162608
144 	  0.0000004628332097
145 	  0.0000004679167984
146 	  0.0000004730688707
147 	  0.0000004782912927
148 	  0.0000004835859566
149 	  0.0000004889547844
150 	  0.0000004943997329
151 	  0.0000004999227975
152 	  0.0000005055260173
153 	  0.0000005112114797
154 	  0.0000005169813257
155 	  0.0000005228377550
156 	  0.0000005287830319
157 	  0.0000005348194909
158 	  0.0000005409495426
159 	  0.0000005471756809
160 	  0.0000005535004890
161 	  0.0000005599266472
162 	  0.0000005664569403
163 	  0.0000005730942659
164 	  0.0000005798416433
165 	  0.0000005867022226
166 	  0.0000005936792955
167 	  0.0000006007763062
168 	  0.0000006079968637
169 	  0.0000006153447551
170 	  0.0000006228239607
171 	  0.0000006304386703
172 	  0.0000006381933011
173 	  0.0000006460925183
174 	  0.0000006541412572
175 	  0.0000006623447483
176 	  0.0000006707085459
177 	  0.0000006792385589
178 	  0.0000006879410871
179 	  0.0000006968228607
180 	  0.0000007058910862
181 	  0.0000007151534970
182 	  0.0000007246184095
183 	  0.0000007342947846
184 	  0.0000007441922891
185 	  0.0000007543213538
186 	  0.0000007646932171
187 	  0.0000007753199400
188 	  0.0000007862143754
189 	  0.0000007973900732
190 	  0.0000008088611117
191 	  0.0000008206418709
192 	  0.0000008327469027
193 	  0.0000008451916003
194 	  0.0000008579948450
195 	  0.0000008711741948
196 	  0.0000008846826520
197 	  0.0000008983642133
198 	  0.0000009089970688
199 	  0.0000010685856283
200 	  0.0000000000000000
